Unidade Geográfica;Tema;Nome Indicador + Unidade de Medida ;Ano;Abrangência Geografica;Botao;Redefinir;Nome Curto Indicador;Rede Grupo;regiao_metropolitana;regiao_planejamento;TipoRede;Fonte;regionalizado;Unidade Medida;Valor;valor_adicional1;valor_adicional2
Barbalha;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Barbalha;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana do Cariri;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;177;;
Abaiara;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Abaiara;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;78;;
Caririaçu;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Caririaçu;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana do Cariri;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;12;;
Crato;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Crato;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana do Cariri;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2122;;
Alcântaras;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Alcântaras;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;9;;
Altaneira;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2003;Altaneira;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Antonina do Norte;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2003;Antonina do Norte;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Araripe;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2003;Araripe;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;224;;
Altaneira;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Altaneira;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;7;;
Antonina do Norte;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Antonina do Norte;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;41;;
Araripe;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Araripe;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;89;;
Assaré;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Assaré;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Aurora;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Aurora;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Barro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Barro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;191;;
Brejo Santo;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Brejo Santo;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;226;;
Campos Sales;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Campos Sales;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;25;;
Granjeiro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Granjeiro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;3;;
Aquiraz;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Aquiraz;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Fortaleza;Grande Fortaleza;Verdadeiro; Secretaria da Saúde (SESA).;sim;;5;;
Alcântaras;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Alcântaras;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;3;;
Farias Brito;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Farias Brito;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana do Cariri;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Jardim;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Jardim;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana do Cariri;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Juazeiro do Norte;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Juazeiro do Norte;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana do Cariri;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2766;;
Missão Velha;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Missão Velha;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana do Cariri;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;61;;
Nova Olinda;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Nova Olinda;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana do Cariri;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;12;;
Santana do Cariri;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Santana do Cariri;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana do Cariri;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;43;;
Altaneira;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2008;Altaneira;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;9;;
Antonina do Norte;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2008;Antonina do Norte;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;3;;
Araripe;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2008;Araripe;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;15;;
Assaré;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Assaré;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;7;;
Aurora;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Aurora;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;5;;
Barro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Barro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;22;;
Brejo Santo;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Brejo Santo;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;267;;
Campos Sales;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Campos Sales;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;183;;
Granjeiro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Granjeiro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;36;;
Assaré;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2003;Assaré;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;53;;
Aurora;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2003;Aurora;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Barro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2003;Barro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;22;;
Brejo Santo;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2003;Brejo Santo;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;18;;
Campos Sales;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2003;Campos Sales;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;327;;
Granjeiro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2003;Granjeiro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Caririaçu;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Caririaçu;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana do Cariri;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;130;;
Crato;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Crato;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana do Cariri;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1272;;
Cariré;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Cariré;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;6;;
Coreaú;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Coreaú;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Sobral;Sertão de Sobral;Verdadeiro; Secretaria da Saúde (SESA).;sim;;3;;
Cedro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Cedro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;7;;
Icó;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Icó;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;160;;
Iguatu;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Iguatu;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;162;;
Ipaumirim;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Ipaumirim;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;68;;
Cascavel;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Cascavel;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Fortaleza;Grande Fortaleza;Verdadeiro; Secretaria da Saúde (SESA).;sim;;79;;
Caucaia;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Caucaia;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Fortaleza;Grande Fortaleza;Verdadeiro; Secretaria da Saúde (SESA).;sim;;87;;
Chorozinho;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Chorozinho;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Fortaleza;Grande Fortaleza;Verdadeiro; Secretaria da Saúde (SESA).;sim;;6;;
Eusébio;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Eusébio;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Fortaleza;Grande Fortaleza;Verdadeiro; Secretaria da Saúde (SESA).;sim;;332;;
Fortaleza;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Fortaleza;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Fortaleza;Grande Fortaleza;Verdadeiro; Secretaria da Saúde (SESA).;sim;;7569;;
Guaiúba;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Guaiúba;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Fortaleza;Grande Fortaleza;Verdadeiro; Secretaria da Saúde (SESA).;sim;;3;;
Horizonte;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Horizonte;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Fortaleza;Grande Fortaleza;Verdadeiro; Secretaria da Saúde (SESA).;sim;;29;;
Itaitinga;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Itaitinga;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Fortaleza;Grande Fortaleza;Verdadeiro; Secretaria da Saúde (SESA).;sim;;6;;
Maracanaú;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Maracanaú;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Fortaleza;Grande Fortaleza;Verdadeiro; Secretaria da Saúde (SESA).;sim;;43;;
Maranguape;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Maranguape;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Fortaleza;Grande Fortaleza;Verdadeiro; Secretaria da Saúde (SESA).;sim;;40;;
Pacajus;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Pacajus;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Fortaleza;Grande Fortaleza;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Pacatuba;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Pacatuba;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana de Fortaleza;Grande Fortaleza;Verdadeiro; Secretaria da Saúde (SESA).;sim;;35;;
Jucás;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Jucás;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Orós;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Orós;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;7;;
Quixelô;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Quixelô;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;75;;
Saboeiro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Saboeiro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Umari;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Umari;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;5;;
Acopiara;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Acopiara;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;473;;
Baixio;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Baixio;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;23;;
Cariús;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Cariús;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;3;;
Catarina;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Catarina;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;54;;
Cedro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Cedro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;3;;
Icó;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Icó;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;48;;
Iguatu;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Iguatu;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1258;;
Ipaumirim;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Ipaumirim;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;9;;
Jucás;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Jucás;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;8;;
Orós;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Orós;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;6;;
Quixelô;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Quixelô;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;86;;
Saboeiro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Saboeiro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;36;;
Umari;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2019;Umari;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Aracati;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Aracati;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Litoral Leste;Verdadeiro; Secretaria da Saúde (SESA).;sim;;368;;
Beberibe;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Beberibe;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Litoral Leste;Verdadeiro; Secretaria da Saúde (SESA).;sim;;288;;
Fortim;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Fortim;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Litoral Leste;Verdadeiro; Secretaria da Saúde (SESA).;sim;;59;;
Icapuí;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Icapuí;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Litoral Leste;Verdadeiro; Secretaria da Saúde (SESA).;sim;;8;;
Itaiçaba;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Itaiçaba;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Litoral Leste;Verdadeiro; Secretaria da Saúde (SESA).;sim;;41;;
Jaguaruana;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Jaguaruana;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Litoral Leste;Verdadeiro; Secretaria da Saúde (SESA).;sim;;269;;
Aracati;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2002;Aracati;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Litoral Leste;Verdadeiro; Secretaria da Saúde (SESA).;sim;;198;;
Assaré;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2008;Assaré;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;57;;
Aurora;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2008;Aurora;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;9;;
Barro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2008;Barro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;19;;
Brejo Santo;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2008;Brejo Santo;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;16;;
Campos Sales;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2008;Campos Sales;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;7;;
Granjeiro;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2008;Granjeiro;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Jati;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Jati;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;23;;
Lavras da Mangabeira;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Lavras da Mangabeira;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;24;;
Mauriti;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Mauriti;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;181;;
Milagres;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Milagres;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;502;;
Penaforte;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Penaforte;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;61;;
Porteiras;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Porteiras;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;195;;
Potengi;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Potengi;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;20;;
Salitre;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Salitre;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;9;;
Tarrafas;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Tarrafas;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;6;;
Várzea Alegre;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Várzea Alegre;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;368;;
Abaiara;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2021;Abaiara;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
